C,errornointernet/quickshell:quickshell,"QtQuick desktop shell"
C,lihaohong/yazi:yazi,"Terminal file manager"
R,repofile:https://repo.librewolf.net/librewolf.repo:librewolf,"Privacy-focused Firefox fork"
R,repofile:https://packages.freedom.press/yum-tools-prod/dangerzone/dangerzone.repo:dangerzone,"Document sanitiser"
R,repofrompath:terra;https://repos.fyralabs.com/terra$releasever:mangowm,"Mango window manager"
,mpv,"Media player"
,fastfetch,"System information tool"
,fzf,"general-purpose fuzzy finder used for file selection and shell history search."
,bat,"cat replacement with syntax highlighting and git integration."
,ripgrep,"fast recursive grep, used by Telescope in Neovim for live file searching."
,zoxide,"Smarter and modern cd."
,waybar,"Wayland status bar"
,calcurse,"Calender and todo list."
,zathura,"Minimalist document viewer"
,zathura-pdf-poppler,"PDF backend for Zathura"
,syncthing,"Continuous file synchronisation"
,swayimg,"Image viewer for Wayland compositors"
,swaybg,"Wallpaper tool for Wayland"
,foot,"Wayland terminal emulator"
,keepassxc,"Password manager"
,rofi,"Application launcher and dmenu replacement"
,btop,"Resource monitor"
,ncdu,"Disk usage analyser"
,zsh,"Z shell"
,zsh-autosuggestions,"Autosuggestions for zsh."
,neovim,"Extensible text editor"
,flatpak,"Flatpak package manager"
,openvpn,"For vpn script to work."
,default-fonts-cjk,"Default CJK font stack"
,default-fonts-core,"Core default fonts"
,default-fonts-other,"Additional default fonts"
,google-noto-fonts-all,"Complete Noto font collection"
,google-noto-cjk-fonts,"Noto fonts for Chinese, Japanese and Korean characters"
,google-noto-emoji-fonts,"Colour emoji font used system-wide"
,fontawesome-fonts,"Icon font used by waybar and rofi for glyphs and symbols"
,liberation-fonts,"Metrically compatible replacements for common Microsoft fonts"
,terminus-fonts,"Bitmap font optimised for readability at small sizes in the terminal"
,dejavu-fonts-all,"DejaVu font family, improves emoji rendering and general Unicode fallback"
F,chat.simplex.simplex,"Encrypted chat"
P,pywal16,"Terminal and desktop colorscheme generator"
